Grouping_var	Replicate	Clusters	Phase	n	freq
WT	r6	10	S	17	0.204819277108434
WT	r6	11	G1	45	0.459183673469388
WT	r6	11	G2M	19	0.193877551020408
WT	r6	11	S	34	0.346938775510204
WT	r6	12	G1	68	0.755555555555556
WT	r6	12	G2M	7	0.0777777777777778
WT	r6	12	S	15	0.166666666666667
WT	r6	13	G1	31	0.462686567164179
WT	r6	13	G2M	21	0.313432835820896
WT	r6	13	S	15	0.223880597014925
WT	r6	14	G1	29	0.386666666666667
WT	r6	14	G2M	20	0.266666666666667
WT	r6	14	S	26	0.346666666666667
WT	r6	15	G1	21	0.411764705882353
WT	r6	15	G2M	12	0.235294117647059
WT	r6	15	S	18	0.352941176470588
WT	r6	16	G1	28	0.636363636363636
WT	r6	16	G2M	12	0.272727272727273
WT	r6	16	S	4	0.0909090909090909
WT	r6	17	G1	9	0.409090909090909
WT	r6	17	G2M	8	0.363636363636364
WT	r6	17	S	5	0.227272727272727
WT	r6	18	G1	21	0.42
WT	r6	18	G2M	17	0.34
WT	r6	18	S	12	0.24
WT	r7	0	G1	135	0.496323529411765
WT	r7	0	G2M	62	0.227941176470588
WT	r7	0	S	75	0.275735294117647
WT	r7	1	G1	224	0.708860759493671
WT	r7	1	G2M	39	0.123417721518987
WT	r7	1	S	53	0.167721518987342
WT	r7	2	G1	226	0.645714285714286
WT	r7	2	G2M	47	0.134285714285714
WT	r7	2	S	77	0.22
WT	r7	3	G1	129	0.422950819672131
WT	r7	3	G2M	69	0.226229508196721
WT	r7	3	S	107	0.350819672131148
WT	r7	4	G1	84	0.587412587412587
WT	r7	4	G2M	27	0.188811188811189
WT	r7	4	S	32	0.223776223776224
WT	r7	5	G1	103	0.565934065934066
WT	r7	5	G2M	40	0.21978021978022
WT	r7	5	S	39	0.214285714285714
WT	r7	6	G1	51	0.621951219512195
WT	r7	6	G2M	16	0.195121951219512
WT	r7	6	S	15	0.182926829268293
WT	r7	7	G1	59	0.621052631578947
WT	r7	7	G2M	13	0.136842105263158
WT	r7	7	S	23	0.242105263157895
WT	r7	8	G1	112	0.430769230769231
WT	r7	8	G2M	72	0.276923076923077
WT	r7	8	S	76	0.292307692307692
WT	r7	9	G1	79	0.68695652173913
WT	r7	9	G2M	19	0.165217391304348
WT	r7	9	S	17	0.147826086956522
WT	r7	10	G1	39	0.672413793103448
WT	r7	10	G2M	8	0.137931034482759
WT	r7	10	S	11	0.189655172413793
WT	r7	11	G1	24	0.406779661016949
WT	r7	11	G2M	15	0.254237288135593
WT	r7	11	S	20	0.338983050847458
WT	r7	12	G1	105	0.640243902439024
WT	r7	12	G2M	24	0.146341463414634
WT	r7	12	S	35	0.213414634146341
WT	r7	13	G1	46	0.446601941747573
WT	r7	13	G2M	25	0.242718446601942
WT	r7	13	S	32	0.310679611650485
WT	r7	14	G1	30	0.25
WT	r7	14	G2M	55	0.458333333333333
WT	r7	14	S	35	0.291666666666667
WT	r7	15	G1	18	0.473684210526316
WT	r7	15	G2M	4	0.105263157894737
WT	r7	15	S	16	0.421052631578947
WT	r7	16	G1	44	0.63768115942029
WT	r7	16	G2M	12	0.173913043478261
WT	r7	16	S	13	0.188405797101449
WT	r7	17	G1	19	0.404255319148936
WT	r7	17	G2M	12	0.25531914893617
WT	r7	17	S	16	0.340425531914894
WT	r7	18	G1	53	0.445378151260504
WT	r7	18	G2M	32	0.26890756302521
WT	r7	18	S	34	0.285714285714286
